cnty_fips,display_name,heart_disease,high_cholesterol,diagnosed_diabetes,obesity,physical_inactivity,current_smoker,broadband_internet,computer,education_lessthan_highschool,education_lessthan_college,foodstamp_snap,median_home_value,median_household_income,income_inequality,poverty,severe_housing_cost_burden,unemployment_rate,air_quality,park_access,urban_rural_value,population_all_genders18+,population_women18+,population_men18+,population_all_ages,population_over65_percent,american_indian_alaska_native_all_ages_nh_percent,asian_pacific_islander_all_ages_nh_percent,black_all_ages_nh_percent,white_all_ages_nh_percent,some_other_race_all_ages_nh_percent,two_ormore_races_all_ages_nh_percent,hispanic_all_ages_percent,cholesterol_medication_nonadherance_all_race,cholesterol_nonadherance_Black_percent,cholesterol_nonadherance_White_percent,cholesterol_nonadherance_Hispanic_percent,cholesterol_nonadherance_NA/AI_percent,cholesterol_nonadherence_AAPI_percent,cholesterol_screening_percent,cardiac_rehab_eligibility_rate,cardiac_rehab_participation_rate_percent,cardiac_rehab_completion_rate_percent,cardiac_rehab_mean_number_session,hospitals_number,hospitals_cardiac_intensive_care,hospitals_cardiac_rehab,hospitals_emergency_dept,hospital_neurolgical_services,pharmacy_drug_stores,primary_care_physicians,cardio_disease_physcians,neurologists_physicians,neurosurgeons_physcians,health_insurance_status_percent,medicare_beneficiaries_heart_disease_totalcostpercapita,medicare_beneficiaries_heart_disease_totalincrementalcosts,medicare_beneficiaries_heart_disease_prevalence_percent
13229,"""Pierce, (GA)""",8.9,37,8.6,31.2,22.8,22.3,30.9,9.2,16,86.6,18,102000,52000,0.478,16.5,8.3,3.1,8.9,3,4,14529,7441,7088,19336,17.1,0.3,0,10.1,84,0.2,0.5,4.9,19,-1,17.7,-1,-1,-1,85.4,20.4,24.8,-1,-1,0,0,0,0,0,30.4,4.9,-1,-1,-1,18,23055,14925,38.3
13231,"""Pike, (GA)""",7.1,35.8,8.2,23.2,21.3,18.6,20.4,7.7,12.9,80.5,9.3,182000,65000,0.418,10.1,7.8,2.8,10.2,1,2,14237,7426,6811,18565,15.8,0,0.3,8.8,86.8,0.9,1.6,1.6,16.9,-1,16.5,-1,-1,-1,87.1,18.6,-1,-1,-1,0,0,0,0,0,0,4.7,-1,-1,-1,15,17715,11318,31.2
13233,"""Polk, (GA)""",8.3,34.2,10.2,28.6,25.9,21.3,20.1,11.3,19.3,87.3,19.3,122000,51000,0.458,16.3,11.9,3.6,9.9,7,4,31475,16216,15259,42251,15.4,0,0.5,11.2,71.7,0.3,3.1,13.2,17.5,22.9,16.9,-1,-1,-1,84.9,30,32.1,25.8,0.3,1,0,1,1,0,16.3,3.6,-1,-1,-1,17.9,22280,15738,44
13235,"""Pulaski, (GA)""",9.7,37,9.2,24.3,20.7,21.3,35.2,13.6,20.5,86.9,15.4,110000,44000,0.438,20.4,16,3.6,9.5,9,3,9217,5512,3705,11185,20.5,0.4,0.6,38.1,57.6,0.4,0.1,2.8,18.3,24.5,15.3,-1,-1,-1,88.1,24.5,-1,-1,-1,1,0,0,0,0,40.6,1.6,11.1,-1,-1,15.8,20238,13984,40.5
13237,"""Putnam, (GA)""",10.1,38.8,7.6,22.5,22.2,18.8,21.3,9.7,12.3,76.5,16.4,166000,56000,0.512,16.3,16,4,10.3,33,4,17510,9072,8438,21906,23.6,0,0.1,26,65.5,0.5,1.7,6.2,16.7,18.9,15.7,-1,-1,-1,89,17.3,28.8,69.2,0.7,1,0,1,1,0,18.1,2.5,22.1,-1,-1,18.2,16833,11052,36.6
13239,"""Quitman, (GA)""",11.8,42.5,8.8,22.8,22.7,19.8,40.7,27.3,29,88.5,27.4,70000,38000,0.511,23.1,10.2,4.9,9,15,4,1994,972,1022,2290,31,0,6.8,46.9,42,0.3,2.8,1.2,17.7,-1,15.6,-1,-1,-1,89.6,31.7,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,19.7,18562,12799,35.3
13241,"""Rabun, (GA)""",10.8,39.6,7.8,24,20.2,18.4,22.8,14.1,15,71.6,10.9,186000,53000,0.536,13.8,16.8,3.1,8.9,87,4,14187,7338,6849,16859,28.2,0,1.6,1.4,87.9,0.3,1,7.8,16.1,-1,15.9,-1,-1,-1,87.9,19,48.9,18.6,0.2,1,0,0,1,0,17.8,1.4,-1,-1,-1,21.5,17868,11817,34.9
13243,"""Randolph, (GA)""",12.6,39.4,9,22.7,20.1,24.4,26.3,16.7,26,87.7,29.4,76000,36000,0.432,27.4,16.2,5.2,9.1,0,4,5077,2627,2450,6888,22.2,0,0,63.2,32,0.2,1.2,3.4,18,21,14.8,-1,-1,-1,87.7,8.3,-1,-1,-1,1,0,0,0,0,62.7,3.4,-1,-1,-1,16.4,22032,15189,32.6
13245,"""Richmond, (GA)""",7.3,31.4,14,33.9,29.2,20.6,19.6,10.7,14.3,77.5,20.9,115000,44000,0.479,25.5,18.8,5.3,9.5,23,3,155959,81737,74222,202178,13.9,0.1,1.9,55.6,33.8,0.9,2.7,5,19.8,23.4,15.6,25.5,-1,22.1,85.9,14.3,23.9,-1,-1,5,2,2,3,3,13.1,0.9,5.8,5.6,13.5,14.3,22724,17449,29
13247,"""Rockdale, (GA)""",7,33.8,10.3,31.9,22.5,17.2,15.2,4.9,10.7,72.8,17.9,170000,61000,0.416,12.7,13.6,4.6,10.8,18,2,67933,36740,31193,90155,14.3,0,2.1,54.9,30.1,0.6,2.2,10.1,18.8,22.9,14.4,-1,-1,-1,88.9,13.7,31.5,27.3,0.3,1,0,1,1,0,17.1,1.4,90.9,90.9,-1,16.1,21269,15582,31.8
